DATE,REAINTRATREARAT10Y,CORESTICKM159SFRBATL,CPILFESL,EXPINF30YR,FPCPITOTLZGUSA,GDP,unrate,psr,m2,dspic,pce,reer,ir,ffer,tcs,indpro,ccpi,PCEPILFE,Price,Open,High,Low,Change %,value
1947-01-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,243.164,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,21.48
1947-02-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,243.164,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,21.62
1947-03-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,243.164,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,22.0
1947-04-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,245.968,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,22.0
1947-05-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,245.968,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,21.95
1947-06-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,245.968,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,22.08
1947-07-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,249.585,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,22.23
1947-08-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,249.585,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,22.4
1947-09-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,249.585,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,22.84
1947-10-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,259.745,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,22.91
1947-11-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,259.745,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,23.06
1947-12-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,259.745,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,23.41
1948-01-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,265.742,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,23.68
1948-02-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,265.742,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,23.67
1948-03-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,265.742,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,23.5
1948-04-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,272.567,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,23.82
1948-05-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,272.567,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,24.01
1948-06-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,272.567,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,24.15
1948-07-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,279.196,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,24.4
1948-08-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,279.196,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,24.43
1948-09-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,279.196,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,24.36
1948-10-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,280.366,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,24.31
1948-11-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,280.366,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,24.16
1948-12-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,280.366,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,24.05
1949-01-01,7.62374231,3.65186106,28.5,5.067615,1.45797598627791,275.034,7.5,10.9,1612.9,4980.4,1870.0,105.21,12.56857143,19.08451613,458080.0,51.1668,85.4,15.501,108.77,109.33,109.65,108.64,-0.72%,24.01
